,original_brand,brand_ch,brand_en,cleaned_brand
2204,婕樂纖,婕樂纖,,婕樂纖
2196,健美生,健美生,,健美生
2040,特力屋,特力屋,,特力屋
2191,孕哺兒,孕哺兒,,孕哺兒
2184,卡氛,卡氛,,卡氛
2181,炫艷,炫艷,,炫艷
2180,維珍妮,維珍妮,,維珍妮
2179,必賜力,必賜力,,必賜力
2177,燒鳥一番,燒鳥一番,,燒鳥一番
2176,逸湘齋,逸湘齋,,逸湘齋
2171,維士比,維士比,,維士比
2163,勳風,勳風,,勳風
2156,晶亮醇,晶亮醇,,晶亮醇
2154,豬跳舞,豬跳舞,,豬跳舞
2152,一滴淨,一滴淨,,一滴淨
2150,采緹,采緹,,采緹
2147,田記,田記,,田記
2190,田原香,田原香,,田原香
1697,多納,多納,,多納
1694,果物配,果物配,,果物配
1692,易洗樂,易洗樂,,易洗樂
1239,多立康,多立康,,多立康
1238,多哥,多哥,,多哥
1236,庵古坑,庵古坑,,庵古坑
1235,詩丹雅蘭,詩丹雅蘭,,詩丹雅蘭
1231,雲谷,雲谷,,雲谷
1226,夏普,夏普,,夏普
1225,食芋堂,食芋堂,,食芋堂
1222,楓康,楓康,,楓康
1221,埔里,埔里,,埔里
1220,國際,國際,,國際
1219,韓味不二,韓味不二,,韓味不二
1218,舒益優,舒益優,,舒益優
1217,黑船長,黑船長,,黑船長
1215,正康,正康,,正康
1214,絲花,絲花,,絲花
1212,統一,統一,,統一
1208,台東初鹿,台東初鹿,,台東初鹿
1206,海昌,海昌,,海昌
1203,原木香,原木香,,原木香
1202,綠的,綠的,,綠的
1201,優佳麗,優佳麗,,優佳麗
1199,日田天領水,日田天領水,,日田天領水
1198,獅子寶寶,獅子寶寶,,獅子寶寶
1196,愛力,愛力,,愛力
1192,台塑生醫 醫之方,台塑生醫 醫之方,,台塑生醫 醫之方
1190,新生活純鮮乳品,新生活純鮮乳品,,新生活純鮮乳品
1187,益妍莓后,益妍莓后,,益妍莓后
1246,黑惡魔,黑惡魔,,黑惡魔
1182,卡旺,卡旺,,卡旺
1251,可爾必思,可爾必思,,可爾必思
1257,萃樂口,萃樂口,,萃樂口
1339,泡樂,泡樂,,泡樂
1331,正官庄,正官庄,,正官庄
1328,11益生菌,11益生菌,,11益生菌
1326,建銓,建銓,,建銓
1325,維斯塔,維斯塔,,維斯塔
1323,金岡,金岡,,金岡
1321,寶酒造,寶酒造,,寶酒造
1319,九華山,九華山,,九華山
1317,水事紀,水事紀,,水事紀
1312,栢歐康,栢歐康,,栢歐康
1310,倍爾康,倍爾康,,倍爾康
1304,金龍,金龍,,金龍
1301,喜特麗,喜特麗,,喜特麗
1297,台灣清香號,台灣清香號,,台灣清香號
1291,寶島,寶島,,寶島
1289,友情牌,友情牌,,友情牌
1285,優兒康,優兒康,,優兒康
1281,玩美日記,玩美日記,,玩美日記
1280,森潤,森潤,,森潤
1277,韓廚,韓廚,,韓廚
1275,美味關係,美味關係,,美味關係
1270,雞老大,雞老大,,雞老大
1267,威仕,威仕,,威仕
1265,雷峰,雷峰,,雷峰
1261,波斯優格,波斯優格,,波斯優格
1259,因特力淨,因特力淨,,因特力淨
1258,上豪,上豪,,上豪
1254,網狐家居,網狐家居,,網狐家居
1175,愛維他,愛維他,,愛維他
1174,華陀扶元堂,華陀扶元堂,,華陀扶元堂
1173,無塵氏,無塵氏,,無塵氏
1081,天使娜拉,天使娜拉,,天使娜拉
1077,艾惟諾,艾惟諾,,艾惟諾
1072,太和殿,太和殿,,太和殿
1070,必盛氏,必盛氏,,必盛氏
1069,歐樂芬,歐樂芬,,歐樂芬
1068,善存,善存,,善存
1067,波力,波力,,波力
1066,味味麵,味味麵,,味味麵
1065,紅茶花伝,紅茶花伝,,紅茶花伝
1058,員山農會,員山農會,,員山農會
1057,原燒貓罐,原燒貓罐,,原燒貓罐
1054,福樂頂級優酪,福樂頂級優酪,,福樂頂級優酪
1052,包大人,包大人,,包大人
1047,天文,天文,,天文
1045,金美克能,金美克能,,金美克能
1044,愛喜,愛喜,,愛喜
1039,日本味王,日本味王,,日本味王
1038,娘家,娘家,,娘家
1031,黑龍,黑龍,,黑龍
1024,御衣坊,御衣坊,,御衣坊
1023,菲蘇德美,菲蘇德美,,菲蘇德美
1021,克菲爾,克菲爾,,克菲爾
1020,威瑪舒培,威瑪舒培,,威瑪舒培
1018,御鼎興,御鼎興,,御鼎興
1015,惠騰,惠騰,,惠騰
1013,克補,克補,,克補
1008,志斌,志斌,,志斌
1084,艾維特,艾維特,,艾維特
1085,統一瑞穗極制,統一瑞穗極制,,統一瑞穗極制
1087,茉莉茶園,茉莉茶園,,茉莉茶園
1093,摩斯,摩斯,,摩斯
1171,白博士,白博士,,白博士
1169,年方十八,年方十八,,年方十八
1167,星巴克,星巴克,,星巴克
1166,西北,西北,,西北
1163,烤一百,烤一百,,烤一百
1154,古寶無患子,古寶無患子,,古寶無患子
1150,肯尼士,肯尼士,,肯尼士
1143,優級首選加州鮮乳,優級首選加州鮮乳,,優級首選加州鮮乳
1142,添寧,添寧,,添寧
1137,統一蜜豆奶,統一蜜豆奶,,統一蜜豆奶
1132,屏東監獄,屏東監獄,,屏東監獄
1128,植物的優,植物的優,,植物的優
1123,安雅,安雅,,安雅
1344,松山油脂,松山油脂,,松山油脂
1122,王牌,王牌,,王牌
1116,健安喜,健安喜,,健安喜
1115,藍寶,藍寶,,藍寶
1112,愛買,愛買,,愛買
1108,小夫妻拌麵,小夫妻拌麵,,小夫妻拌麵
1107,康是美,康是美,,康是美
1106,御膳食堂,御膳食堂,,御膳食堂
1105,屏大,屏大,,屏大
1102,樂金,樂金,,樂金
1101,山水,山水,,山水
1099,存元堂,存元堂,,存元堂
1098,慢熟,慢熟,,慢熟
1097,露得清,露得清,,露得清
1096,微舒打,微舒打,,微舒打
1117,日本三洋,日本三洋,,日本三洋
1345,吉蒸,吉蒸,,吉蒸
1355,養樂多,養樂多,,養樂多
1358,大丈夫,大丈夫,,大丈夫
1592,純粹喝,純粹喝,,純粹喝
1588,福忠字號,福忠字號,,福忠字號
1587,優品,優品,,優品
1586,健力士,健力士,,健力士
1582,南投國姓農會,南投國姓農會,,南投國姓農會
1581,森林物語,森林物語,,森林物語
1579,農會,農會,,農會
1578,名仕,名仕,,名仕
1577,安親,安親,,安親
1573,芙絲,芙絲,,芙絲
1572,仁和園,仁和園,,仁和園
1571,元山牌,元山牌,,元山牌
1569,台灣好漁,台灣好漁,,台灣好漁
1562,名屋,名屋,,名屋
1561,絲易康,絲易康,,絲易康
1560,燒肉工房,燒肉工房,,燒肉工房
1559,台灣農林,台灣農林,,台灣農林
1556,小魚嚴選,小魚嚴選,,小魚嚴選
1552,健而婷,健而婷,,健而婷
1550,林鳳營精品優格,林鳳營精品優格,,林鳳營精品優格
1547,臺虎,臺虎,,臺虎
1546,聯碩,聯碩,,聯碩
1543,雪肌精,雪肌精,,雪肌精
1541,龍宏,龍宏,,龍宏
1526,美樂,美樂,,美樂
1524,健身大師,健身大師,,健身大師
1521,義美生醫,義美生醫,,義美生醫
1595,龍泉,龍泉,,龍泉
1597,高山小濃,高山小濃,,高山小濃
1599,統一生機,統一生機,,統一生機
1600,酵速工坊,酵速工坊,,酵速工坊
1691,舒特膚,舒特膚,,舒特膚
1688,北海道函館3.7鮮乳,北海道函館3.7鮮乳,,北海道函館3.7鮮乳
1684,宇治園,宇治園,,宇治園
1682,星宇航空,星宇航空,,星宇航空
1676,小兒利撒爾,小兒利撒爾,,小兒利撒爾
1673,藏鮮,藏鮮,,藏鮮
1669,高地之泉,高地之泉,,高地之泉
1667,奇檬子,奇檬子,,奇檬子
1666,維康,維康,,維康
1664,博朗氏,博朗氏,,博朗氏
1663,麒麟,麒麟,,麒麟
1659,億長御坊,億長御坊,,億長御坊
1654,船井生醫,船井生醫,,船井生醫
1518,小安安,小安安,,小安安
1653,蔚特尼思,蔚特尼思,,蔚特尼思
1648,優倍多,優倍多,,優倍多
1645,伊聖詩,伊聖詩,,伊聖詩
1644,正負零,正負零,,正負零
