,brand_ch,brand_en,cleaned_brand,sim,certain,U
187,雲南白藥,,雲南白藥,[],[],0
188,多芬,,多芬,"[('三多', 50), ('喜多', 50), ('多哥', 50), ('多納', 50), ('潔芬', 50), ('巧多', 50)]",[],0
189,澳潔蕬,,澳潔蕬,[],[],0
190,屈臣氏,,屈臣氏,[],[],0
191,曾拌麵,,曾拌麵,"[('千拌麵', 67), ('老媽拌麵', 57), ('小夫妻拌麵', 50)]",[],0
192,御茶園,,御茶園,"[('茉莉茶園', 57)]",[],0
193,維力炸醬麵,,維力炸醬麵,"[('維力媽媽麵', 60), ('維大力', 50)]",[],0
194,脫普,,脫普,"[('夏普', 50), ('普登', 50), ('普潔', 50)]",[],0
195,麥迪森,,麥迪森,[],[],0
196,冰火,,冰火,[],[],0
197,倫敦登喜路,,倫敦登喜路,[],[],0
198,台鹽生技,,台鹽生技,"[('台酒生技', 75), ('台海生技', 75), ('台鹽', 67), ('統欣生技', 50), ('信東生技', 50), ('宏醫生技', 50), ('大醫生技', 50), ('台塑生醫', 50), ('遠東生技', 50), ('長庚生技', 50), ('三井生技', 50), ('鑫耀生技', 50), ('創益生技', 50)]",[],0
199,芙夏妮,,芙夏妮,"[('蓓芙妮', 67)]",[],0
200,蘇菲,,蘇菲,[],[],0
201,歌林,,歌林,"[('林內', 50)]",[],0
202,爵戀,,爵戀,"[('尊爵', 50), ('戀戀', 50), ('眷戀', 50), ('伯爵', 50)]",[],0
203,大補帖,,大補帖,[],[],0
204,大家源,,大家源,[],[],0
205,麵大師,,麵大師,"[('健身大師', 57), ('金牌大師', 57)]",[],0
206,白帥帥,,白帥帥,[],[],0
207,施巴,,施巴,"[('巴馬', 50)]",[],0
208,台熱牌,,台熱牌,[],[],0
209,卡夫亨氏,,卡夫亨氏,[],[],0
210,五月花,,五月花,[],[],0
211,三詩達,,三詩達,[],[],0
212,四季,,四季,"[('四葉', 50)]",[],0
213,李錦記,,李錦記,"[('李記', 80)]","[('李記', 80)]",1
214,日本石鹸,,日本石鹸,"[('北日本', 57), ('日本獅王', 50), ('日本花王', 50), ('日本味王', 50), ('日本三洋', 50)]",[],0
215,諾得,,諾得,"[('得意', 50), ('諾寶', 50), ('珊諾', 50), ('諾資', 50), ('善得', 50)]",[],0
216,小獅王,,小獅王,"[('獅王', 80), ('小獅王辛巴', 75), ('日本獅王', 57)]","[('獅王', 80)]",1
217,鍋寶,,鍋寶,"[('寶亨', 50), ('聲寶', 50), ('寶僑', 50), ('寶馬', 50), ('寶路', 50), ('古寶', 50), ('諾寶', 50), ('藍寶', 50), ('寶島', 50), ('培寶', 50), ('旺寶', 50), ('寶仕', 50), ('金寶', 50), ('真鍋', 50), ('奇寶', 50), ('威寶', 50)]",[],0
218,拜維佳,,拜維佳,[],[],0
219,國際牌,,國際牌,"[('國際', 80), ('明洞國際', 57), ('頂尖國際', 57)]","[('國際', 80)]",1
220,嚕啦啦,,嚕啦啦,"[('莎啦莎啦', 57)]",[],0
221,比菲多優意思,,比菲多優意思,"[('比菲多', 67), ('比菲多質立', 55), ('比菲多乳之初', 50)]",[],0
222,麥香,,麥香,"[('香山', 50)]",[],0
223,高地卡尼,,高地卡尼,"[('高地之泉', 50)]",[],0
224,維力原祖,,維力原祖,"[('維大力', 57)]",[],0
225,沈杯杯,,沈杯杯,[],[],0
226,花王,,花王,"[('日本花王', 67), ('獅王', 50), ('味王', 50), ('王牌', 50), ('絲花', 50), ('菇王', 50), ('南王', 50), ('王朝', 50), ('大王', 50), ('花園', 50)]",[],0
227,索樂生活,,索樂生活,"[('生活', 67), ('樂活', 67), ('愛生活', 57), ('生活工場', 50), ('常春樂活', 50), ('生活良好', 50)]",[],0
228,喜樂之泉,,喜樂之泉,"[('酷之泉', 57), ('高地之泉', 50)]",[],0
229,依洛嘉,,依洛嘉,[],[],0
230,立頓,,立頓,[],[],0
231,加倍潔,,加倍潔,"[('倍潔雅', 67)]",[],0
232,日虹,,日虹,"[('日虹牌', 80), ('日清', 50), ('日象', 50), ('日虎', 50), ('日濢', 50), ('日青', 50), ('朝日', 50)]","[('日虹牌', 80)]",1
233,馬修嚴選,,馬修嚴選,"[('小魚嚴選', 50)]",[],0
234,樂天,,樂天,"[('刷樂', 50), ('樂邁', 50), ('福樂', 50), ('天文', 50), ('樂金', 50), ('泡樂', 50), ('樂活', 50), ('美樂', 50), ('天天', 50), ('樂趣', 50), ('參天', 50)]",[],0
235,古寶,,古寶,"[('古酵寶', 80), ('古寶無患子', 57), ('寶亨', 50), ('聲寶', 50), ('寶僑', 50), ('寶馬', 50), ('寶路', 50), ('鍋寶', 50), ('諾寶', 50), ('古道', 50), ('藍寶', 50), ('寶島', 50), ('培寶', 50), ('旺寶', 50), ('寶仕', 50), ('古吉', 50), ('金寶', 50), ('奇寶', 50), ('威寶', 50)]","[('古酵寶', 80)]",1
236,三得利,,三得利,[],[],0
237,萊萃美,,萊萃美,[],[],0
238,長壽,,長壽,"[('賀壽', 50), ('長庚', 50)]",[],0
239,卜蜂,,卜蜂,"[('蜂鳥', 50)]",[],0
240,香山,,香山,"[('元山', 50), ('泰山', 50), ('雪山', 50), ('麥香', 50), ('山森', 50), ('山水', 50), ('山崎', 50), ('山元', 50), ('山形', 50), ('豪山', 50), ('富山', 50), ('武山', 50), ('丸山', 50)]",[],0
241,好立善,,好立善,[],[],0
242,山森,,山森,"[('元山', 50), ('泰山', 50), ('雪山', 50), ('香山', 50), ('山水', 50), ('森潤', 50), ('山崎', 50), ('山元', 50), ('山形', 50), ('豪山', 50), ('富山', 50), ('武山', 50), ('丸山', 50)]",[],0
243,邁士,,邁士,"[('樂邁', 50), ('富士', 50)]",[],0
244,鷹記維他,,鷹記維他,"[('維他麥', 57), ('愛維他', 57), ('維他露', 57), ('維他盒子', 50)]",[],0
245,白人,,白人,"[('白鴿', 50), ('黑人', 50), ('白雪', 50), ('麗白', 50), ('白象', 50)]",[],0
246,優活,,優活,"[('優活力', 80), ('優生', 50), ('生活', 50), ('樂活', 50), ('優品', 50), ('優柏', 50), ('活力', 50), ('優護', 50)]","[('優活力', 80)]",1
247,冷泡茶,,冷泡茶,[],[],0
