,brand_en,sim,cleaned_brand,certain,check
56,on the body,"[('the body shop', 83), ('the orchid skin', 62), ('the ordinary', 61), ('e-books', 56), ('to be white', 55), ('botanical esthe', 54), ('mother-k', 53), ('bone', 53), ('bodytalk', 53), ('by terry', 53), (""john's blend"", 52), ('black monster', 50), ('dyson', 50), ('jo malone', 50), ('e.dot', 50), ('new beads', 50), ('one thing', 50), ('only good', 50), ('dr.wonder', 50)]",on the body,[],0
57,black monster,"[('blackmonster', 96), ('mother-k', 67), ('black ice', 64), ('jant blanc', 61), ('new balance', 58), ('black blaze', 58), ('natural balance', 57), ('oster', 56), ('a-star bones', 56), ('cooler master', 54), ('eternal basic', 54), ('lavons', 53), ('amstel', 53), ('a star', 53), ('oven-baked', 52), ('gulbirlik rose', 52), ('on the body', 50), ('yeaster', 50), ('glinter', 50)]",black monster,"[('blackmonster', 96)]",1
58,ardell,"[('ariel', 73), ('argelan', 62), ('ferrarelle', 62), ('karalla', 62), ('merrell', 62), ('ayerllan', 57), ('piacelli', 57), ('delta', 55), ('delux', 55), ('arlem', 55), ('ariul', 55), ('najel', 55), ('heartfelt', 53), ('realme', 50), ('carome.', 50), ('bladez', 50), ('handme', 50), ('eilles', 50), ('andzen', 50)]",ardell,[],0
59,carome.,"[('aroma', 73), ('ciaoke', 67), ('kamome', 67), ('aroma zone', 62), ('ciao', 60), ('yome', 60), ('maro', 60), ('warm', 60), ('cure', 60), ('alcatroz', 57), ('ariel', 55), ('crest', 55), ('combo', 55), ('arlem', 55), ('combi', 55), ('romix', 55), ('homei', 55), ('amice', 55), ('azoma', 55)]",carome.,[],0
60,the saem,"[(""she's"", 62), ('esthe dew', 59), ('skater', 57), ('amstel', 57), ('the laundress', 57), ('the north face', 55), ('she', 55), ('the retinotime', 55), ('nature tree', 53), ('shower mate', 53), ('saholea', 53), ('rosette', 53), ('to be white', 53), ('nature face', 53), ('mestemacher', 53), ('kitchen art', 53), ('herbal care', 53), ('skechers', 50), ('heme', 50)]",the saem,[],0
61,excel,"[('ekel', 67), ('exped', 60), ('eclear', 55), ('ecover', 55), ('percol', 55), ('trimaxcell', 53), ('tcl', 50), ('bcl', 50), ('3ce', 50), ('che gel', 50), ('celvoke', 50), ('celefit', 50), ('lec', 50), ('ace', 50), ('ricenal', 50), ('merrell', 50)]",excel,[],0
62,sour3,"[('doutor', 55), ('espoir', 55), ('sapporo', 50), ('gourmia', 50), ('see you', 50), ('gourmet', 50), ('nor.', 50), ('flavour', 50)]",sour3,[],0
63,eva,"[('evas', 86), ('zoeva', 75), ('revital', 60), ('eupa', 57), ('vita', 57), ('deve', 57), ('muva', 57), (""i'nesvia"", 55), ('opera', 50), ('aveda', 50), ('delta', 50), ('fresa', 50), ('vacci', 50), ('derma', 50), ('avila', 50), ('deary', 50), ('wedar', 50), ('sheba', 50), ('remax', 50)]",eva,[],0
64,bcl,"[('abc', 67), ('tcl', 67), ('club', 57), ('ikbc', 57), ('cily', 57), ('excel', 50), ('fancl', 50), ('sacla', 50), ('b +', 50), ('belif', 50)]",bcl,[],0
65,avalon,"[('valor', 73), ('lavons', 67), ('baan', 60), ('avalon organics', 57), ('mamalove', 57), ('aveda', 55), ('sabon', 55), ('vosun', 55), ('avila', 55), ('devon', 55), ('jo malone', 53), ('panasonic', 53), ('granarolo', 53), ('mellsavon', 53), ('bon aroma', 53), ('revablend', 53), ('evolution', 53), ('aronyx', 50), ('velcos', 50)]",avalon,[],0
