,cleaned_brand,certain,sim
56,media媚點,[],"[('acmedica', 67), ('ediya', 67), ('mdovia', 62), ('mei', 60), ('miau', 55), ('mediheal美迪惠爾', 53), ('amida', 50), ('aveda', 50), ('wedar', 50), ('homei', 50), ('midea', 50), ('petia', 50), ('medi-peel', 50), ('edeka', 50)]"
57,electrolux伊萊克斯,[],"[('elecom', 50), ('glolux', 50)]"
58,ocean spring,[],"[('chian pin強品', 61), ('spring曙光', 60), ('one thing', 57), ('center-in', 57), ('peppa pig', 57), ('sang-a', 56), ('super love', 55), ('cosmic mansion', 54), ('cezanne', 53), ('hanskin', 53), ('darling', 53), ('forcans', 53), ('clair paris', 52), ('champion', 50), ('c-skin杜克', 50), ('oceanique歐斯恩', 50), ('min shiang名象', 50), ('care linkage', 50), ('carein康茵', 50)]"
59,xiaomi小米,[],"[('vitamix', 53), ('larmi樂米', 53), ('ciao', 50), ('pomi', 50), ('ioio', 50)]"
60,白蘭氏,[],[]
61,光泉乳香世家,[],"[('光泉鮮乳', 60)]"
62,tefal特福,"[('tefal法國特福', 88)]","[('tefal法國特福', 88), ('fala', 55), ('fancl', 50), ('temba', 50), ('e.l.f.', 50)]"
63,samsung三星,[],"[('fasun', 57), ('sang-a', 53), ('fasun琺頌', 50), ('swanson', 50)]"
64,revlon露華濃,[],"[('devon', 57), ('revablend', 56), ('evolution', 56), ('avalon', 53), ('relove', 53), ('argelan', 50), ('revital', 50), ('greenon', 50)]"
65,za,[],"[('ziaja', 57), ('zoeva', 57), ('azoma', 57), ('breeza', 50), ('jonzac', 50), ('zavida', 50), ('ak', 50)]"
66,m.a.c,"[('a.h.c', 80)]","[('a.h.c', 80), ('n.a.f', 60), ('ac makeup', 57), ('cama cafe', 57), ('mk lab', 55), ('abc', 50), ('ahc', 50), ('j.gasco', 50), ('g&m', 50), ('aoc', 50), ('ck n-95', 50), ('nac nac', 50), ('lac', 50), ('magicom', 50), ('a&w', 50), ('ace', 50), ('dear my', 50), ('pc park', 50), ('milk&co', 50)]"
67,reach麗奇,[],"[('rausch', 62), ('peach c', 57), ('a.h.c', 50), ('fresa', 50), ('remax', 50), ('real thai', 50), ('peach and', 50)]"
68,venus marble,[],"[('venus amour戀愛女神', 59), ('natures care', 58), ('s+miracle', 57), ('oven-baked', 55), ('st.malo', 53), (""men's biore"", 52), ('yves rocher', 52), ('numis med樂美思', 50), ('avengers', 50), (""john's blend"", 50), ('merbliss', 50), ('mamalove', 50)]"
69,雀巢,[],[]
70,原萃,[],"[('康萃', 50), ('原辰', 50)]"
71,skechers,[],"[('cheers', 71), ('schesir', 67), ('mestemacher', 63), ('cheerios', 62), ('keychron', 62), ('karcher凱馳', 59), ('cherry', 57), ('skater', 57), ('eclear', 57), ('ecover', 57), ('she', 55), ('seeds惜時', 53), ('userism', 53), ('cheersjelly', 53), ('thayers', 53), ('yves rocher', 53), ('chefrun', 53), ('converse', 50), ('the saem', 50)]"
72,ucc,[],"[('gucci', 75), ('tcc', 67), ('ufc', 67), ('cock', 57), ('vacci', 50), ('lucky', 50), ('cuoco', 50), ('success成功', 50), ('cuccio古希歐', 50)]"
73,asd愛仕達,[],"[('adidas愛迪達', 53)]"
74,雪坊,[],"[('雪山', 50), ('雷雪', 50), ('雪比', 50), ('白雪', 50)]"
75,asus華碩,[],"[('cass', 60), ('baseus倍思', 57), ('abuns', 55), ('fasun', 55), ('rausch', 50), ('targus', 50), ('suisai', 50)]"
76,台啤,[],"[('台灣啤酒', 67), ('台鹽', 50), ('台酒', 50), ('台農', 50), ('台畜', 50), ('台鳳', 50), ('台塑', 50), ('台麗', 50), ('台塩', 50)]"
77,royal法國皇家,[],"[('royal御皇居', 71), ('royce皇家玫瑰', 56), ('najel法國', 50)]"
78,海倫仙度絲,[],[]
79,嬌生,[],"[('優生', 50), ('新生', 50), ('生活', 50), ('民生', 50)]"
80,adidas愛迪達,"[('adidas', 80)]","[('adidas', 80), ('amida', 57), ('radius雷迪兒', 56), ('asd愛仕達', 53), ('zavida', 53), ('aiwa愛華', 53), ('diadora', 50), ('add+', 50), ('animonda阿曼達', 50)]"
81,meko時尚美妝,[],"[('melko', 62)]"
82,amazfit華米,[],"[('yamaki', 53), ('larmi樂米', 50)]"
83,和平,[],"[('和成', 50), ('和味', 50)]"
84,統一陽光,[],"[('統一', 67), ('ab統一', 50), ('統一瑞穗', 50), ('統一生機', 50)]"
85,lily&color,[],"[('fine color', 70), ('cover nail', 60), ('milk&co', 59), ('cily', 57), ('ecologic', 56), ('cc daily', 56), ('citycolor', 53), ('colourpop', 53), ('omory', 53), ('only good', 53), ('nail labo', 53), ('thai coco', 53), ('wooly', 53), ('color club', 50), ('t core', 50), ('clover', 50), ('daily boost日卜力', 50), ('icooby', 50), ('modori', 50)]"
86,五五五,[],[]
87,活力滋,"[('活力', 80)]","[('活力', 80), ('優活力', 67), ('活力廚坊', 57), ('活力廚房', 57), ('亞尼活力', 57)]"
88,葡萄王,[],[]
89,cellina雪芙蘭,[],"[('ellia伊莉亞', 56), ('piacelli', 56), ('care linkage', 55), ('clarins克蘭詩', 50), ('guerlain嬌蘭', 50)]"
90,yuskin悠斯晶,[],"[('duskin', 67), ('sukin', 57), ('hanskin', 50), ('dr. skin', 50)]"
91,星之冠,[],[]
92,kanebo佳麗寶,"[('kanebo佳麗寶-開架式', 82)]","[('kanebo佳麗寶-開架式', 82), ('kangol', 53), ('neobio麗柏有機', 53)]"
93,桂冠,[],"[('皇冠', 50), ('華冠', 50)]"
94,阿薩姆,[],[]
95,gatsby,[],"[('oasy', 60), ('natureby', 57), ('matsukiyo', 53), ('ts', 50), ('gigabyte技嘉', 50), ('beauty', 50), ('beautyeasy', 50), ('plants', 50)]"
96,p維他露,"[('維他露', 86)]","[('維他露', 86), ('維他麥', 57), ('愛維他', 57), ('鷹記維他', 50), ('維他盒子', 50)]"
97,cetaphil舒特膚,[],"[('merphil', 56)]"
98,avene雅漾,[],"[('avengers', 67), ('avon雅芳', 62), ('enne', 55), ('ange', 55), ('vencedor', 53), ('pantene潘婷', 50), ('aveeno艾惟諾', 50), ('visee', 50), ('haken', 50), ('aiken', 50), ('aveda', 50)]"
99,德恩奈,[],[]
100,dior迪奧,"[('dior', 80)]","[('dior', 80), ('diadora', 62), ('biore', 55), ('lador', 55), ('ivory', 55), ('doutor', 50), ('ivenor', 50), ('modori', 50), ('daisho', 50), ('dibote', 50)]"
101,toma-pro優格,[],"[('target pro', 60), ('tom ford', 56), ('proton普騰', 56), ('pato.pato', 53), ('aroma', 53), ('romand', 50), (""pro'skit寶工"", 50), ('joroma', 50), ('probox', 50)]"
102,康乃馨,[],[]
103,zowie卓威,[],"[('zoobies', 57), ('weider威德', 53), ('ecowipes', 53), ('zoeva', 50), ('kokie', 50), ('olive', 50)]"
104,cookpower鍋寶,[],"[('teapower茶寶', 57), ('down power', 57), ('e-power', 56), ('cocodor', 56), ('a+ power', 56), ('double power', 52), ('powerbomb', 50), ('opera', 50), ('colourpop', 50), ('powermate', 50)]"
105,草繹,[],[]
106,heysong黑松,[],"[('songen松井', 59), ('dyson', 57), ('mihong', 53), ('thomson', 50), ('dyson戴森', 50), ('hongo鴻果', 50)]"
107,lancome蘭蔻,[],"[('laneige蘭芝', 56), ('la lune蘭韻', 56), ('b balance', 56), ('carome.', 53), ('balance博朗氏', 53), ('klorane蔻蘿蘭', 53), ('handme', 53), ('mandom', 53), ('elecom', 53), ('lanami', 53), ('kamome', 53), ('new balance', 50), ('lacroix', 50), ('lacto韓國', 50), ('lac', 50), ('balzano', 50), ('magicom', 50), ('ace', 50), ('wellcome好吉康', 50)]"
108,七星,[],"[('七喜', 50), ('明星', 50)]"
